Customer Name ,Name,Item,Description,Amount,Status,Sales Rep,Support End Date [NEW],Date,Completion Date ,Internal ID,Support Start Date  [New]
Unlock Technologies,30198 Unlock Technologies : Papago Buttes 310 & 320,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",13257.5,Closed,Victoria Lugo,10/15/2024,7/25/2024,12/6/2024,11384,12/6/2024
"Nationwide Children's Hospital, Inc.","30199 Nationwide Children's Hospital, Inc. : NCH - D10110",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",564,Partially Fulfilled,Brian Moloney,10/31/2025,6/28/2024,10/11/2024,11161,10/11/2024
84.51,30207 84.51 : Conference Room/AV Support,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",300000,Pending Fulfillment,PATRICK D FRIEND,7/31/2027,7/17/2024,,11300,
St. Johns United Church of Christ,30220 St. Johns United Church of Christ : Service-St. Johns United Church of Christ,Onsite Support,Onsite Troubleshooting,555,Billed,DEREK  FORNASH,,7/2/2024,,11104,
Celanese,30223 Celanese : Service-Celanese,Onsite Support,Onsite Troubleshooting,277.5,Billed,DEREK  FORNASH,,6/26/2024,,11123,
Shiel Sexton / IMI,30223-1 Shiel Sexton / IMI : IMI - New HQ - Small Conf. Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",8480,Pending Billing/Partially Fulfilled,Brian Moloney,,9/10/2024,,11824,
Shiel Sexton / IMI,30223-1 Shiel Sexton / IMI : IMI - New HQ - Small Conf. Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",6800,Pending Fulfillment,Brian Moloney,,9/10/2024,,11824,
Shiel Sexton / IMI,30223-1 Shiel Sexton / IMI : IMI - New HQ - Small Conf. Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",16204.8,Pending Fulfillment,Brian Moloney,,9/10/2024,,11824,
Shiel Sexton / IMI,30223-1 Shiel Sexton / IMI : IMI - New HQ - Small Conf. Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",4255.2,Pending Fulfillment,Brian Moloney,,9/10/2024,,11824,
Shiel Sexton / IMI,30223-1 Shiel Sexton / IMI : IMI - New HQ - Small Conf. Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",825.04,Pending Fulfillment,Brian Moloney,,9/10/2024,,11824,
Shiel Sexton / IMI,30223-1 Shiel Sexton / IMI : IMI - New HQ - Small Conf. Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1290.4,Pending Fulfillment,Brian Moloney,,9/10/2024,,11824,
Shiel Sexton / IMI,30223-1 Shiel Sexton / IMI : IMI - New HQ - Small Conf. Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",12702.4,Pending Fulfillment,Brian Moloney,,9/10/2024,,11824,
Shiel Sexton / IMI,30223-1 Shiel Sexton / IMI : IMI - New HQ - Small Conf. Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",6660.8,Pending Fulfillment,Brian Moloney,,9/10/2024,,11824,
Shiel Sexton / IMI,30223-1 Shiel Sexton / IMI : IMI - New HQ - Small Conf. Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",10509.44,Pending Fulfillment,Brian Moloney,,12/2/2024,,11824,
ABBVIE,30224 ABBVIE : Service - ABBVIE,Onsite Support,Onsite Troubleshooting,277.5,Billed,DEREK  FORNASH,,6/26/2024,,11124,
CINCINNATI CHILDREN'S HOSPITAL,30225 CINCINNATI CHILDREN'S HOSPITAL : Service-CINCINNATI CHILDREN'S HOSPITAL,Onsite Support,Onsite Troubleshooting,397.75,Billed,DEREK  FORNASH,,7/2/2024,,11126,
CINCINNATI CHILDREN'S HOSPITAL,30225 CINCINNATI CHILDREN'S HOSPITAL : Service-CINCINNATI CHILDREN'S HOSPITAL,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,1/14/2025,,11126,
Kentucky Downs,30254 Kentucky Downs : Service Agreement Williamsburg site.,Extended Support - Onboarding,Extended Support Onboarding Asset tagging System Documentation Functionality Test & Certification,5400,Partially Fulfilled,ROCKY PANGALLO,8/28/2027,8/28/2024,,11718,
Kentucky Downs,30254 Kentucky Downs : Service Agreement Williamsburg site.,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",7200,Partially Fulfilled,ROCKY PANGALLO,8/28/2027,8/28/2024,,11718,
Kentucky Downs,30254 Kentucky Downs : Service Agreement Williamsburg site.,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",4200,Partially Fulfilled,ROCKY PANGALLO,8/28/2027,8/28/2024,,11718,
Kentucky Downs,30254 Kentucky Downs : Service Agreement Williamsburg site.,Onsite Support - After Hours,,9200,Partially Fulfilled,ROCKY PANGALLO,8/28/2027,8/28/2024,,11718,
Kentucky Downs,30255 Kentucky Downs : Service Agreement Corbin site.,Extended Support - Onboarding,Extended Support Onboarding Asset tagging System Documentation Functionality Test & Certification,3600,Partially Fulfilled,ROCKY PANGALLO,10/31/2027,9/5/2024,,11785,
Kentucky Downs,30255 Kentucky Downs : Service Agreement Corbin site.,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",6000,Partially Fulfilled,ROCKY PANGALLO,10/31/2027,9/5/2024,,11785,
Kentucky Downs,30255 Kentucky Downs : Service Agreement Corbin site.,Onsite Support - After Hours,,4600,Partially Fulfilled,ROCKY PANGALLO,10/31/2027,9/5/2024,,11785,
Knowledge Services,30259 Knowledge Services : Service T&M,Onsite Support,Onsite Troubleshooting,6250,Billed,ANDREA  NICHOLSON,,7/17/2024,12/10/2024,11295,12/10/2024
Churchill Downs Incorporated,30287 Churchill Downs Incorporated : United Tote - Portland Oregon,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",362,Partially Fulfilled,Brian Moloney,10/31/2025,7/3/2024,11/25/2024,11201,11/25/2024
Neighborhood Outreach Access to Health,30302 Neighborhood Outreach Access to Health : Service Call - NOAH Cholla East Lobby Doors,Onsite Support,Onsite Troubleshooting,353.6,Billed,Jeremiah  Boswell,,6/26/2024,,11136,
UCHealth,30316 UCHealth : Floor 3 Room 6,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",2400,Billed,BRAD  COOPER,11/5/2027,7/25/2024,1/17/2025,11371,1/17/2025
UCHealth,30318 UCHealth : 7th Floor Board Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",5000,Billed,BRAD  COOPER,11/22/2027,7/25/2024,1/17/2025,11366,1/17/2025
UCHealth,30321 UCHealth : 1268B,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",2300,Billed,BRAD  COOPER,11/15/2027,7/25/2024,1/17/2025,11365,1/17/2025
Wendy's,30327 Wendy's : EJ Wunsch’s office,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1200,Billed,Brian Moloney,10/31/2027,6/28/2024,11/18/2024,11165,11/18/2024
MIAMI WHITEWATER COMMUNITY CHURCH,30334 MIAMI WHITEWATER COMMUNITY CHURCH : Service-Miami Whitewater Community Church,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,6/28/2024,,11164,
MIAMI WHITEWATER COMMUNITY CHURCH,30334 MIAMI WHITEWATER COMMUNITY CHURCH : Service-Miami Whitewater Community Church,Onsite Support,Onsite Troubleshooting,1850,Billed,DEREK  FORNASH,,6/28/2024,,11164,
Wendy's,30339 Wendy's : UPS - Food Theater & IC2A,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",437.6,Billed,Brian Moloney,9/27/2025,8/27/2024,,11711,
Wendy's,30342 Wendy's : Event support 9/18 & 9/19,Onsite Support,Onsite Troubleshooting,2700,Billed,Brian Moloney,,8/19/2024,11/11/2024,11649,11/11/2024
"Multiple Services, LLC","30351 Multiple Services, LLC : MS WPAFB AFIT CCR Classroom 642/204 GECO Lab V2",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",12330,Partially Fulfilled,Cody Ramey,1/3/2028,9/24/2024,,11933,
"Professional Audio Visual Communications, Inc","30363 Professional Audio Visual Communications, Inc : Service - Professional Audio Visual Communications, Inc",Onsite Support,Onsite Troubleshooting,2475,Billed,DEREK  FORNASH,,7/12/2024,,11204,
DICKMANN'S KY. SPORTS CAFE,30364 DICKMANN'S KY. SPORTS CAFE : Service-Dickmann's Ky. Sports Cafe,Onsite Support,Onsite Troubleshooting,740,Billed,DEREK  FORNASH,,7/11/2024,,11210,
DICKMANN'S KY. SPORTS CAFE,30364 DICKMANN'S KY. SPORTS CAFE : Service-Dickmann's Ky. Sports Cafe,Onsite Support,Onsite Troubleshooting,277.5,Billed,DEREK  FORNASH,,8/14/2024,,11210,
Knauf,30366-2 Knauf : Knauf Exec Boardroom - Crestron,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",500,Pending Billing/Partially Fulfilled,ANDREA  NICHOLSON,,11/18/2024,,12511,
Pike Township Fire Department,30371-LC Pike Township Fire Department : Large Conference Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",2650,Closed,Andrea Mikels,10/30/2027,8/8/2024,11/27/2024,11526,11/27/2024
Kimball International,30408 Kimball International : Rattle My Brain,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",3710,Partially Fulfilled,ANDREA  NICHOLSON,1/13/2028,8/13/2024,,11582,
Regenstrief Institute,30410 Regenstrief Institute : Building PA Upgrades,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",3080,Partially Fulfilled,ANDREA  NICHOLSON,12/20/2027,10/2/2024,,12026,
EnVista Corp.,"30412 EnVista Corp. : Lakeview Farms 130"" Samsung DS",Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",4500,Billed,BRAD  COOPER,11/8/2027,7/11/2024,1/17/2025,11242,1/17/2025
Marian University,30440 Marian University : Library Auditorium Technology Upgrade,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",4150,Partially Fulfilled,Andrea Mikels,11/1/2027,8/13/2024,11/1/2024,11579,11/1/2024
Merchants Bank,30442 Merchants Bank : Richmond IN - Conf Rooms 203,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1680,Billed,Brian Moloney,11/1/2027,7/26/2024,11/22/2024,11410,11/22/2024
Pepper Construction-Indianapolis,30443 Pepper Construction-Indianapolis : Conference Room AirMedias,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",300,Billed,Whitney Turso,10/31/2025,7/25/2024,10/11/2024,11373,10/11/2024
Worthington Industries,30474 Worthington Industries : Service - Worthington Industries,Onsite Support,Onsite Troubleshooting,832.5,Billed,DEREK  FORNASH,,7/17/2024,,11294,
MJ Insurance,30490 MJ Insurance : Esplanade Building II - Suite 1150,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",18297.95,Pending Billing/Partially Fulfilled,Victoria Lugo,,10/31/2024,,12355,
Premier Shooting & Training Center,30496 Premier Shooting & Training Center : Service - Premier Shooting & Training Center,Onsite Support,Onsite Troubleshooting,555,Billed,DEREK  FORNASH,,7/19/2024,,11318,
Logan Theater Inc.,305060-2 Logan Theater Inc. : AVL Order of Magnitude v5,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",17500,Pending Fulfillment,Kory Young,,9/3/2024,,11757,
Wendy's,305074 Wendy's : UPS - Thomas 2E,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",208,Partially Fulfilled,Brian Moloney,9/30/2025,7/23/2024,10/11/2024,11353,10/11/2024
Wendy's,305075 Wendy's : Wendy's - Tampa FL - Large conference Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",4028.8,Pending Fulfillment,Brian Moloney,,8/19/2024,,11643,
Wendy's,305075-1 Wendy's : Wendy’s - Tampa Small Conf. Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1700,Pending Fulfillment,Brian Moloney,,8/19/2024,,11645,
ST. BRIGID,305078 ST. BRIGID : Service-St. Brigid Catholic Church,Onsite Support,Onsite Troubleshooting,370,Billed,DEREK  FORNASH,,8/14/2024,,11321,
CAMPBELL COUNTY FISCAL COURT,305079 CAMPBELL COUNTY FISCAL COURT : Service - CAMPBELL COUNTY FISCAL COURT,Onsite Support,Onsite Troubleshooting,370,Billed,DEREK  FORNASH,,7/29/2024,,11339,
CAMPBELL COUNTY FISCAL COURT,305079 CAMPBELL COUNTY FISCAL COURT : Service - CAMPBELL COUNTY FISCAL COURT,Onsite Support,Onsite Troubleshooting,323.75,Billed,DEREK  FORNASH,,10/15/2024,,11339,
CAMPBELL COUNTY FISCAL COURT,305079 CAMPBELL COUNTY FISCAL COURT : Service - CAMPBELL COUNTY FISCAL COURT,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,11/7/2024,,11339,
LTF CLUB OPERATIONS COMPANY,305092 LTF CLUB OPERATIONS COMPANY : Crowd Strike Digital Signage fix,Onsite Support,Onsite Troubleshooting,41200,Billed,Curt Feldtkeller,,7/22/2024,9/6/2024,11344,9/6/2024
OHIO LIVING MT. PLEASANT,305093 OHIO LIVING MT. PLEASANT : Service-Ohio Living Mt. Pleasant,Onsite Support,Onsite Troubleshooting,925,Billed,DEREK  FORNASH,,7/30/2024,,11354,
Cardinal Pointe Financial Group,305094 Cardinal Pointe Financial Group : USB Cable Pulls,Onsite Support,Onsite Troubleshooting,647.5,Billed,BRAD  COOPER,,7/24/2024,10/25/2024,11361,10/25/2024
ST. HENRY ELEMENTARY SCHOOL,305096 ST. HENRY ELEMENTARY SCHOOL : Service - St. Henry Elementary School,Onsite Support,Onsite Troubleshooting,555,Billed,DEREK  FORNASH,,8/7/2024,,11417,
THE SUMMIT COUNTRY DAY SCHOOL,305098 THE SUMMIT COUNTRY DAY SCHOOL : Service - The Summit Country Day School,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,8/6/2024,,11498,
THE SUMMIT COUNTRY DAY SCHOOL,305098 THE SUMMIT COUNTRY DAY SCHOOL : Service - The Summit Country Day School,Onsite Support,Onsite Troubleshooting,185,Billed,DEREK  FORNASH,,10/18/2024,,11498,
Ripley High School,305099 Ripley High School : Service - Ripley High School,Onsite Support,Onsite Troubleshooting,1110,Billed,DEREK  FORNASH,,9/9/2024,,11514,
Stansteel  | Hotmix Parts,305101 Stansteel  | Hotmix Parts : Service - Stansteel | Hotmix Parts,Onsite Support,Onsite Troubleshooting,580,Billed,TOMMY  KINNAIRD,,8/19/2024,8/20/2024,11534,8/20/2024
CINCINNATI PUBLIC SCHOOLS : ELDER HIGH SCHOOL,305102 CINCINNATI PUBLIC SCHOOLS : ELDER HIGH SCHOOL : Service-Cincinnati Public Schools : Elder High School,Onsite Support,Onsite Troubleshooting,925,Billed,DEREK  FORNASH,,8/13/2024,,11544,
OAK HILLS LOCAL SCHOOL DISTRICT,305103 OAK HILLS LOCAL SCHOOL DISTRICT : Service-Oak Hills Local School District,Onsite Support,Onsite Troubleshooting,370,Billed,DEREK  FORNASH,,8/20/2024,,11545,
OAK HILLS LOCAL SCHOOL DISTRICT,305103 OAK HILLS LOCAL SCHOOL DISTRICT : Service-Oak Hills Local School District,Onsite Support,Onsite Troubleshooting,1110,Billed,DEREK  FORNASH,,8/20/2024,,11545,
"Wings and Rings Milford, OH","305105 Wings and Rings Milford, OH : Service-Wings and Rings Milford,OH",Onsite Support,Onsite Troubleshooting,740,Billed,DEREK  FORNASH,,8/12/2024,,11558,
First Church of Christ,305106 First Church of Christ : Service-First Church of Christ,Onsite Support,Onsite Troubleshooting,370,Billed,DEREK  FORNASH,,8/26/2024,,11580,
"THE PHELPS, A RESIDENCE INN BY MARRIOTT","305109 THE PHELPS, A RESIDENCE INN BY MARRIOTT : Service - The Phelps, A Resicence Inn By Marriott",Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,8/22/2024,,11611,
MIRACLE TEMPLE COMMUNITY CHURCH,305111 MIRACLE TEMPLE COMMUNITY CHURCH : Service - Miracle Temple Community Church,Onsite Support,Onsite Troubleshooting,185,Billed,DEREK  FORNASH,,8/23/2024,,11634,
MIRACLE TEMPLE COMMUNITY CHURCH,305111 MIRACLE TEMPLE COMMUNITY CHURCH : Service - Miracle Temple Community Church,Onsite Support,Onsite Troubleshooting,277.5,Billed,DEREK  FORNASH,,8/23/2024,,11634,
HAMILTON COUNTY MATH & SCIENCE ACADEMY,305112 HAMILTON COUNTY MATH & SCIENCE ACADEMY : Service - Hamilton County Math & Science Academy,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,8/20/2024,,11639,
THE CHRIST HOSPITAL HEALTH NETWORK,305113 THE CHRIST HOSPITAL HEALTH NETWORK : Service - The Christ Hospital Health Network,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,10/2/2024,,11644,
THE CHRIST HOSPITAL HEALTH NETWORK,305113 THE CHRIST HOSPITAL HEALTH NETWORK : Service - The Christ Hospital Health Network,Onsite Support,Onsite Troubleshooting,555,Billed,DEREK  FORNASH,,12/12/2024,,11644,
Marriott at RiverCenter,305114 Marriott at RiverCenter : Service - Marriott at RiverCenter,Onsite Support,Onsite Troubleshooting,555,Billed,DEREK  FORNASH,,8/28/2024,,11675,
Marriott at RiverCenter,305114 Marriott at RiverCenter : Service - Marriott at RiverCenter,Onsite Support,Onsite Troubleshooting,370,Billed,DEREK  FORNASH,,9/9/2024,,11675,
Marriott at RiverCenter,305114 Marriott at RiverCenter : Service - Marriott at RiverCenter,Onsite Support,Onsite Troubleshooting,370,Billed,DEREK  FORNASH,,9/23/2024,,11675,
ST. PAUL SCHOOL,305115 ST. PAUL SCHOOL : Service-St. Paul Catholic School,Onsite Support,Onsite Troubleshooting,2035,Billed,DEREK  FORNASH,,9/13/2024,,11679,
OHIO DEPARTMENT OF VETERANS SERVICES/OHIO VETERANS HOME,305117 OHIO DEPARTMENT OF VETERANS SERVICES/OHIO VETERANS HOME : Service - OHIO DEPARTMENT OF VETERANS SERVICES/OHIO VETERANS HOME,Onsite Support,Onsite Troubleshooting,832.5,Billed,DEREK  FORNASH,,8/28/2024,,11713,
MARIEMONT CITY SCHOOLS : TERRACE PARK ELEMENTARY,305118 MARIEMONT CITY SCHOOLS : TERRACE PARK ELEMENTARY : Service-Terrace Park Elementary,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,9/6/2024,,11720,
MARIEMONT CITY SCHOOLS : TERRACE PARK ELEMENTARY,305118 MARIEMONT CITY SCHOOLS : TERRACE PARK ELEMENTARY : Service-Terrace Park Elementary,Onsite Support,Onsite Troubleshooting,647.5,Billed,DEREK  FORNASH,,11/21/2024,,11720,
Rose Hulman Institute of Technology,305119 Rose Hulman Institute of Technology : Service - Rose Hulman Institute of Technology,Onsite Support,Onsite Troubleshooting,750,Billed,ANDREA  NICHOLSON,,9/10/2024,,11747,
Rose Hulman Institute of Technology,305119 Rose Hulman Institute of Technology : Service - Rose Hulman Institute of Technology,Onsite Support,Onsite Troubleshooting,1750,Billed,ANDREA  NICHOLSON,,11/1/2024,,11747,
Rose Hulman Institute of Technology,305119 Rose Hulman Institute of Technology : Service - Rose Hulman Institute of Technology,Onsite Support,Onsite Troubleshooting,125,Billed,ANDREA  NICHOLSON,,12/5/2024,,11747,
FIRST DISTRICT COURT OF APPEALS,305120 FIRST DISTRICT COURT OF APPEALS : Service - First District Court of Appeals,Onsite Support,Onsite Troubleshooting,740,Billed,DEREK  FORNASH,,9/13/2024,,11750,
Newport Racing & Gaming,305122 Newport Racing & Gaming : Service-Newport Racing & Gaming,Onsite Support,Onsite Troubleshooting,277.5,Billed,DEREK  FORNASH,,9/11/2024,,11794,
Churchill Downs Incorporated,305123 Churchill Downs Incorporated : Service-Churchill Downs RaceTrack,Onsite Support,Onsite Troubleshooting,555,Pending Fulfillment,Brian Moloney,,10/15/2024,,11801,
Churchill Downs Incorporated,305123 Churchill Downs Incorporated : Service-Churchill Downs RaceTrack,Onsite Support,Onsite Troubleshooting,555,Partially Fulfilled,Brian Moloney,,10/15/2024,,11801,
Westfall High School,305126 Westfall High School : Service - Westfall High School,Onsite Support,Onsite Troubleshooting,375,Billed,Mark Hanson,,9/27/2024,,11838,
COVINGTON CATHOLIC HIGH SCHOOL,305127 COVINGTON CATHOLIC HIGH SCHOOL : Service - Covington Catholic High School,Onsite Support,Onsite Troubleshooting,462.5,Billed,DEREK  FORNASH,,9/16/2024,,11840,
DAV,305128 DAV : Service-DAV,Onsite Support,Onsite Troubleshooting,647.5,Billed,DEREK  FORNASH,,9/16/2024,,11841,
Cincinnati State,305129 Cincinnati State : Service-Cincinnati State,Onsite Support,Onsite Troubleshooting,370,Billed,DEREK  FORNASH,,9/13/2024,,11842,
OhioHealth,305130 OhioHealth : Service - OhioHealth,Onsite Support,Onsite Troubleshooting,312.5,Billed,Kory Young,,10/4/2024,,11846,
Silco Fire and Security - Columbus,305131 Silco Fire and Security - Columbus : Silco Fire and Security 0 Columbus -Service T&M,Onsite Support,Onsite Troubleshooting,1000,Billed,Mark Hanson,,9/13/2024,,11864,
